chunk_id,text,document_title,page_number,source_id
04bb50d3-433f-4338-9491-9416764ea03b,"Autism spectrum disorder 
in under 19s: recognition, 
referral and diagnosis 
Clinical guideline 
Published: 28 September 2011 
Last updated: 20 December 2017 
www.nice.org.uk/guidance/cg128 
© NICE 2026. All rights reserved. Subject to Notice of rights (https://www.nice.org.uk/terms-and-
conditions#notice-of-rights).",NICE CG128,1,nice_cg128
e96940ce-a0f8-4300-ad8a-c50d1c97196f,"Your responsibility The recommendations in this guideline represent the view of NICE, arrived at after careful consideration of the evidence available. When exercising their judgement, professionals and practitioners are expected to take this guideline fully into account, alongside the individual needs, preferences and values of their patients or the people using their service. It is not mandatory to apply the recommendations, and the guideline does not override the responsibility to make",NICE CG128,2,nice_cg128
790f87f3-a25b-4260-9f80-132d1bc2e7c0,"decisions appropriate to the circumstances of the individual, in consultation with them and their families and carers or guardian. All problems (adverse events) related to a medicine or medical device used for treatment or in a procedure should be reported to the Medicines and Healthcare products Regulatory Agency using the Yellow Card Scheme. Local commissioners and providers of healthcare have a responsibility to enable the guideline to be applied when individual professionals and people using",NICE CG128,2,nice_cg128
06d0d3cf-6704-4d77-a61a-b75ed053f4a5,"services wish to use it. They should do so in the context of local and national priorities for funding and developing services, and in light of their duties to have due regard to the need to eliminate unlawful discrimination, to advance equality of opportunity and to reduce health inequalities. Nothing in this guideline should be interpreted in a way that would be inconsistent with complying with those duties. Commissioners and providers have a responsibility to promote an environmentally",NICE CG128,2,nice_cg128
b6e04d4c-deb4-4de4-8bf6-78ea1f4a5f41,"sustainable health and care system and should assess and reduce the environmental impact of implementing NICE recommendations wherever possible. Autism spectrum disorder in under 19s: recognition, referral and diagnosis (CG128) © NICE 2026. All rights reserved. Subject to Notice of rights (https://www.nice.org.uk/terms-and- conditions#notice-of-rights). Page 2 of 43",NICE CG128,2,nice_cg128
c336a72c-ffcc-4afb-9449-e524be643c75,Contents Overview ...................................................................................................................................... 4 Who is it for? .......................................................................................................................................... 4 Using this guideline ..................................................................................................................... 5 Recommendations,NICE CG128,3,nice_cg128
e461dbf4-47e3-4bda-85ca-7942e54826c7,"....................................................................................................................... 6 1.1 Local pathway for recognition, referral and diagnostic assessment of possible autism .......... 6 1.2 Recognising children and young people who may be autistic .................................................... 8 1.3 Referring children and young people to the autism team ........................................................... 10 1.4 After referral to the autism team",NICE CG128,3,nice_cg128
ff322b27-c8c1-465b-baec-091389b82ec4,................................................................................................... 15 1.5 Autism diagnostic assessment for children and young people .................................................. 16 1.6 After the autism diagnostic assessment ....................................................................................... 22 1.7 Medical investigations ..................................................................................................................... 23,NICE CG128,3,nice_cg128
a6193b4a-5ec0-4e90-b7b9-2998ab8bc152,1.8 Communicating the results from the autism diagnostic assessment ........................................ 23 1.9 Information and support for families and carers .......................................................................... 24 Recommendations for research ................................................................................................. 26 1 Training professionals,NICE CG128,3,nice_cg128
ac7c9b68-694b-434f-88aa-2377ec966e1d,........................................................................................................................ 26 2 Gathering information in schools or nurseries ................................................................................ 27 3 Additional assessments .................................................................................................................... 27 4 Comparative genomic hybridisation array,NICE CG128,3,nice_cg128
